常用指标,总资产报酬率(ROA),2.897843,2.29212,1.364334,0.870042,2.429992,1.532586,0.83097,0.294414,2.585636,1.935198,1.447839,0.716079,5.835068,4.685645,3.280096,1.637142,5.663095,3.856173,2.636316,0.521558,3.128873,2.36361,1.296883,0.496244,1.745094,,,,0.814319,,,,1.589497,1.043927,3.694387,0.405956,,3.678549,2.686729,4.095063,0.32994
常用指标,毛利率,21.624151,23.151126,21.909018,23.096861,18.590184,17.639314,13.906531,14.185595,21.887361,23.011169,22.438709,22.765219,38.297477,39.904501,40.256552,41.171536,29.305018,27.94375,26.665642,26.970934,23.783354,24.527685,23.503606,21.57945,20.83355,,,,23.019752,,,,24.758835,27.640501,29.16108,28.427613,24.605739,31.490792,25.081394,23.694213,21.379484
常用指标,销售净利率,10.707914,11.654838,10.41076,14.237794,9.296764,7.719099,6.250442,3.574462,14.135009,14.506065,17.245919,18.012502,29.593475,30.782323,31.662493,30.527416,31.440655,29.570438,31.653141,10.327235,14.638595,14.212165,9.195555,5.436038,5.761356,,,,1.565217,,,,4.219516,6.248986,10.857763,10.9843,8.120854,9.802562,6.36341,8.164742,1.309978
常用指标,期间费用率,13.201263,12.128245,13.375233,11.03359,13.377132,12.563941,12.735979,11.51222,10.219581,9.293912,8.945777,8.615445,13.466741,12.963515,12.868178,12.396665,14.648597,14.40023,14.099232,15.743391,18.834493,18.19262,22.279513,23.709249,26.720324,,,,24.866837,,,,23.887055,21.889362,18.312409,15.734303,14.229772,22.241005,19.561207,16.54836,21.608866
常用指标,资产负债率,33.002399,33.079766,33.782983,32.813052,35.173211,33.435181,34.596585,36.002141,35.452289,34.58599,34.592593,34.279234,33.889782,33.162086,32.476474,29.74104,29.55558,29.600787,29.189544,27.988191,30.774776,27.422321,35.366345,42.39384,37.936903,40.301478,40.408916,40.747268,38.183108,40.383012,40.896885,43.565692,43.577775,44.961334,46.583504,45.155636,44.146465,41.109618,42.667625,42.671738,44.110911
每股指标,基本每股收益,0.63,0.48,0.29,0.17,0.46,0.34,0.21,0.06,0.61,0.46,0.38,0.2,1.53,1.19,0.79,0.36,1.36,0.93,0.66,0.13,0.67,0.51,0.26,0.08,0.34,0.22,0.06,0.04,0.14,,,,0.27,,,,,,,,
每股指标,稀释每股收益,0.63,0.48,0.29,0.17,0.46,0.34,0.21,0.06,0.61,0.46,0.38,0.2,1.53,1.19,0.79,0.36,1.35,0.92,0.66,0.13,0.64,0.48,0.25,0.08,0.33,0.22,0.06,0.04,0.14,,,,0.27,,,,,,,,
每股指标,摊薄每股收益_最新股数,0.629059,0.476477,0.287137,0.169269,0.461575,0.337719,0.205448,0.063515,0.601864,0.458595,0.374044,0.198589,1.51415,1.171765,0.780191,0.354849,1.339439,0.913286,0.654092,0.128807,0.540646,0.384392,0.173016,0.054489,0.223853,0.101625,0.026433,0.010312,0.093256,0.092322,0.048506,0.023052,0.155368,0.089666,0.32605,0.013162,0.049523,0.205356,0.11681,0.131764,0.017861
每股指标,摊薄每股净资产_期末股数,18.852011,18.898173,18.884698,18.731111,18.579215,18.130599,18.127137,17.944794,17.929256,17.999005,17.984231,16.880645,16.8555,16.765196,15.436237,14.196865,13.815884,13.500276,13.12486,12.75843,12.610136,12.908849,,,,,,,,,,,,,,,,,,,
每股指标,调整每股净资产_期末股数,18.459968,18.50351,18.489089,18.3074,18.148502,17.719692,17.703972,17.516855,17.496643,17.558132,17.533405,16.443359,16.409735,16.306723,15.064727,13.837496,13.440149,13.187469,12.808378,12.430505,12.274411,12.652271,,,,,,,,,,,,,,,,,,,
