信号等级,代码,类型,收盘价,涨跌幅%,量比,成交额万元,ADX,站上SMA20,K线形态,MACD,背离前价,背离近价,背离前MACD,背离近MACD,背离间距日,精选分,缠论加分,ML加分,综合分,缠论标签,ML概率,ML标签,近一买,近二买,近三买,近三卖,相对中枢,周线趋势
B-底背离放量,688273.SH,个股,30.41,3.08,1.71,5718.5,24.36,是,,-0.4929,27.87,26.64,-3.0628,-1.0795,31,90.67,18.0,20.3,128.97,"站上ZG,周中枢上移",0.9057,偏多:0.91,,,,,中枢上方,周中枢上移
B-底背离放量,603248.SH,个股,23.88,-1.53,3.73,73134.1,30.2,是,,1.1857,16.99,16.78,-1.7278,-0.4749,37,107.3,18.0,-0.1,125.2,"站上ZG,周价>MA20",0.498,中性:0.50,,,,,中枢上方,周价>MA20
B-底背离放量,300905.SZ,个股,39.09,0.85,1.9,53007.5,23.75,是,,0.1716,34.8,33.43,-4.5092,-1.3184,31,97.0,8.0,19.8,124.8,站上ZG,0.897,偏多:0.90,,,,,中枢上方,周中枢重叠
B-底背离放量,688047.SH,个股,107.1,2.41,2.61,95897.3,27.36,是,,-2.0014,101.85,96.2,-10.5844,-4.0003,33,104.1,10.0,8.6,122.7,周中枢上移,0.6723,偏多:0.67,,,,,中枢内部,周中枢上移
B-底背离放量,600755.SH,个股,5.81,2.83,2.47,24812.4,17.53,是,,-0.022,5.51,5.51,-0.0881,-0.0399,56,100.18,8.0,13.8,121.98,站上ZG,0.7768,偏多:0.78,,,,,中枢上方,周中枢重叠
